source,index,id,isim,brand,status,reasons
curated,133,-MbOh4kzJAYOjybnYjny,dolmalık fıstık,,invalid,invalid_kcal_range
curated,145,-MbOnkPUtW5q4AsfgIy2,domates- biber salçası,,invalid,invalid_kcal_range
curated,153,-MbOh9iHt2eQBqf0lin7,dut kurusu,,invalid,invalid_kcal_range
curated,157,-MbOjhZM1F3rOErrFyeM,dövülmüş limon tuzu,,suspect,suspect_sugar_gt_carb
curated,167,-MbOkbQ19RyZX05D1rnC,erik,,invalid,invalid_kcal_range
curated,175,-MbOi25OfeIBJP7WtUEF,et suyu veya tavuk suyu,,suspect,suspect_sugar_gt_carb
curated,177,-MbOjMvbbHLP0q9mFp4-,ezilmiş haşhaş,,invalid,invalid_kcal_range
curated,184,-MbOlJ9sbhLfWuCfBbKU,file badem,,invalid,invalid_kcal_range
curated,191,-MbOock4dxMQYKAD6aPG,frenk kimyonu,,invalid,invalid_kcal_range
curated,196,-MbOoNChG0ZFvuwlTBiP,fındık kreması,,suspect,suspect_sugar_gt_carb
curated,202,-MbOlbIn9yOWuGKV37un,ganaj,,invalid,invalid_kcal_range
curated,203,-MbOkj2VLcTPsGqm9Lpg,garnitür,,invalid,invalid_kcal_range
curated,204,-MbOjzQyo3ZeOHeBCCVZ,girit kabağı,,invalid,invalid_kcal_range
curated,208,-MbOoLTdpbWu4GCWAvWf,gül suyu,,suspect,suspect_sugar_gt_carb
curated,218,-MbOlWUvJlswOw3UaSyf,hazır rulo pasta,,suspect,suspect_macro_kcal_mismatch|suspect_sugar_gt_carb
curated,245,-MbOmpyxyUuVe4dQKv_g,ince tuz,,invalid,invalid_kcal_range
curated,248,-MbOmgFMcid90Id4C89v,ince çekilmiş deniz tuzu,,invalid,invalid_kcal_range
curated,250,-MbOo5Py9gSqFgL5Ccz7,ince çekilmiş tuz,,invalid,invalid_kcal_range
curated,252,-MbOiln0zZSZ3B0zcfGp,instant maya,,invalid,invalid_kcal_range
curated,255,-MbOmnAoDt5f5-Q-Wqpt,iri palamut,,invalid,invalid_kcal_range
curated,257,-MbOmo9ovw9aBt4vL5_U,iri çekilmiş deniz tuzu,,invalid,invalid_kcal_range
curated,266,-MbOeglPpPWD1ApAJA7l,kabartma tozu,,suspect,suspect_macro_kcal_mismatch
curated,268,-MbOkpjEPdVDkEUfoLnx,kadayıf,,invalid,invalid_kcal_range
curated,271,-MbOl_KyqTl7uOerzcay,kakaolu bisküvi,,suspect,suspect_macro_kcal_mismatch
curated,272,-MbOlTZmy8vSON73u8kH,kakaolu hazır pandispanya keki,,suspect,suspect_macro_kcal_mismatch
curated,273,-MbOm9ZM4f4r0bArwKYq,kakaolu krem şanti,,suspect,suspect_macro_kcal_mismatch
curated,274,-MbOlDQbDbR897yryGjB,kakaolu petibör bisküvi,,suspect,suspect_macro_kcal_mismatch
curated,276,-MbOlYOBs39GQB8UTraU,kakaolu puding,,suspect,suspect_macro_kcal_mismatch
